seed_key,brand,model,optical_type,aperture_mm,focal_length_mm,focal_ratio,mount_type,notes,instrument_category
telescope::celestron::nexstar 8se,Celestron,NexStar 8SE,Schmidt-Cassegrain,203,2032,10,GoTo altazimutale,Manufacturer catalog specification.
telescope::celestron::omni xlt 102,Celestron,Omni XLT 102,rifrattore,102,1000,9.8,equatoriale CG-4,Manufacturer catalog specification.
telescope::celestron::omni xlt 120,Celestron,Omni XLT 120,rifrattore,120,1000,8.3,equatoriale CG-4,Manufacturer catalog specification.
telescope::celestron::omni xlt 150,Celestron,Omni XLT 150,Newton,150,750,5,equatoriale CG-4,Manufacturer catalog specification.
telescope::celestron::starsense explorer 10 dobsonian,Celestron,StarSense Explorer 10 Dobsonian,Newton,254,1200,4.7,Dobson PushTo,Manufacturer catalog specification.
telescope::celestron::starsense explorer 8 dobsonian,Celestron,StarSense Explorer 8 Dobsonian,Newton,203,1200,5.9,Dobson PushTo,Manufacturer catalog specification.
telescope::celestron::starsense explorer dx 102az,Celestron,StarSense Explorer DX 102AZ,rifrattore,102,660,6.5,altazimutale PushTo,Manufacturer catalog specification.
telescope::celestron::starsense explorer dx 130az,Celestron,StarSense Explorer DX 130AZ,Newton,130,650,5,altazimutale PushTo,Manufacturer catalog specification.
telescope::celestron::starsense explorer lt 80az,Celestron,StarSense Explorer LT 80AZ,rifrattore,80,900,11.3,altazimutale PushTo,Manufacturer catalog specification.
telescope::explore scientific::ar102,Explore Scientific,AR102,rifrattore,102,663,6.5,OTA,Manufacturer catalog specification.
telescope::explore scientific::ar127,Explore Scientific,AR127,rifrattore,127,825,6.5,OTA,Manufacturer catalog specification.
telescope::explore scientific::david h. levy comet hunter,Explore Scientific,David H. Levy Comet Hunter,Maksutov-Newton,152,731,4.8,OTA,Manufacturer catalog specification.
telescope::explore scientific::ed102 essential,Explore Scientific,ED102 Essential,rifrattore,102,714,7,OTA,Manufacturer catalog specification.
telescope::explore scientific::ed127 essential,Explore Scientific,ED127 Essential,rifrattore,127,952,7.5,OTA,Manufacturer catalog specification.
telescope::explore scientific::ed80 essential,Explore Scientific,ED80 Essential,rifrattore,80,480,6,OTA,Manufacturer catalog specification.
telescope::explore scientific::firstlight 114mm newton,Explore Scientific,FirstLight 114mm Newton,Newton,114,500,4.4,equatoriale,Manufacturer catalog specification.
telescope::explore scientific::firstlight 130mm newton,Explore Scientific,FirstLight 130mm Newton,Newton,130,1000,7.7,equatoriale,Manufacturer catalog specification.
telescope::explore scientific::firstlight ar102,Explore Scientific,FirstLight AR102,rifrattore,102,1000,9.8,equatoriale,Manufacturer catalog specification.
telescope::explore scientific::firstlight ar80,Explore Scientific,FirstLight AR80,rifrattore,80,640,8,altazimutale,Manufacturer catalog specification.
telescope::gso::classical cassegrain 6,GSO,Classical Cassegrain 6,Classical Cassegrain,150,1800,12,OTA,Manufacturer catalog specification.
telescope::gso::classical cassegrain 8,GSO,Classical Cassegrain 8,Classical Cassegrain,200,2400,12,OTA,Manufacturer catalog specification.
telescope::gso::dobson 200/1200,GSO,Dobson 200/1200,Newton,200,1200,6,Dobson,Specs encoded in model name.
telescope::gso::dobson 250/1250,GSO,Dobson 250/1250,Newton,250,1250,5,Dobson,Specs encoded in model name.
telescope::gso::dobson 300/1500,GSO,Dobson 300/1500,Newton,300,1500,5,Dobson,Specs encoded in model name.
telescope::gso::newton 150/750,GSO,Newton 150/750,Newton,150,750,5,OTA,Specs encoded in model name.
telescope::gso::newton 200/1000,GSO,Newton 200/1000,Newton,200,1000,5,OTA,Specs encoded in model name.
telescope::gso::newton 200/800,GSO,Newton 200/800,Newton,200,800,4,OTA,Specs encoded in model name.
telescope::gso::rc 6,GSO,RC 6,RC,152,1370,9,OTA,Manufacturer catalog specification.
telescope::gso::rc 8,GSO,RC 8,RC,203,1624,8,OTA,Manufacturer catalog specification.
telescope::meade::etx125 observer,Meade,ETX125 Observer,Maksutov,127,1900,15,GoTo altazimutale,Manufacturer catalog specification.
telescope::meade::etx90 observer,Meade,ETX90 Observer,Maksutov,90,1250,13.9,GoTo altazimutale,Manufacturer catalog specification.
telescope::meade::infinity 70az,Meade,Infinity 70AZ,rifrattore,70,700,10,altazimutale,Manufacturer catalog specification.
telescope::meade::infinity 80az,Meade,Infinity 80AZ,rifrattore,80,400,5,altazimutale,Manufacturer catalog specification.
telescope::meade::infinity 90az,Meade,Infinity 90AZ,rifrattore,90,600,6.7,altazimutale,Manufacturer catalog specification.
telescope::meade::lx200 8 acf,Meade,LX200 8 ACF,Schmidt-Cassegrain,203,2000,10,GoTo forcella,Manufacturer catalog specification.
telescope::meade::lx90 8 acf,Meade,LX90 8 ACF,Schmidt-Cassegrain,203,2000,10,GoTo forcella,Manufacturer catalog specification.
telescope::meade::lightbridge mini 130,Meade,LightBridge Mini 130,Newton,130,650,5,Dobson tabletop,Manufacturer catalog specification.
telescope::meade::polaris 130eq,Meade,Polaris 130EQ,Newton,130,650,5,equatoriale,Manufacturer catalog specification.
telescope::omegon::ac 102/660 az-3,Omegon,AC 102/660 AZ-3,rifrattore,102,660,6.5,altazimutale,Specs encoded in model name.
telescope::omegon::ac 70/700 az-2,Omegon,AC 70/700 AZ-2,rifrattore,70,700,10,altazimutale,Specs encoded in model name.
telescope::omegon::ac 90/1000 eq-2,Omegon,AC 90/1000 EQ-2,rifrattore,90,1000,11.1,equatoriale,Specs encoded in model name.
telescope::omegon::advanced 130/650 eq-320,Omegon,Advanced 130/650 EQ-320,Newton,130,650,5,equatoriale,Specs encoded in model name.
telescope::omegon::advanced 150/750 eq-320,Omegon,Advanced 150/750 EQ-320,Newton,150,750,5,equatoriale,Specs encoded in model name.
telescope::omegon::prodob n 153/1200,Omegon,ProDob N 153/1200,Newton,153,1200,7.8,Dobson,Specs encoded in model name.
telescope::omegon::prodob n 203/1200,Omegon,ProDob N 203/1200,Newton,203,1200,5.9,Dobson,Specs encoded in model name.
telescope::omegon::prodob n 254/1250,Omegon,ProDob N 254/1250,Newton,254,1250,4.9,Dobson,Specs encoded in model name.
telescope::omegon::pronewton n 203/1000,Omegon,ProNewton N 203/1000,Newton,203,1000,4.9,OTA,Specs encoded in model name.
telescope::orion::apex 127,Orion,Apex 127,Maksutov,127,1540,12.1,OTA,Manufacturer catalog specification.
telescope::orion::apex 90,Orion,Apex 90,Maksutov,90,1250,13.9,OTA,Manufacturer catalog specification.
telescope::orion::observer 80st,Orion,Observer 80ST,rifrattore,80,400,5,OTA,Manufacturer catalog specification.
telescope::orion::observer 90mm eq,Orion,Observer 90mm EQ,rifrattore,90,910,10.1,equatoriale,Manufacturer catalog specification.
telescope::orion::skyquest xt10,Orion,SkyQuest XT10,Newton,254,1200,4.7,Dobson,Manufacturer catalog specification.
telescope::orion::skyquest xt12,Orion,SkyQuest XT12,Newton,305,1500,4.9,Dobson,Manufacturer catalog specification.
telescope::orion::skyquest xt4.5,Orion,SkyQuest XT4.5,Newton,114,910,8,Dobson,Manufacturer catalog specification.
telescope::orion::skyquest xt6,Orion,SkyQuest XT6,Newton,150,1200,8,Dobson,Manufacturer catalog specification.
telescope::orion::skyquest xt8,Orion,SkyQuest XT8,Newton,203,1200,5.9,Dobson,Manufacturer catalog specification.
telescope::orion::starblast 4.5 astro,Orion,StarBlast 4.5 Astro,Newton,114,450,3.9,Dobson tabletop,Manufacturer catalog specification.
telescope::orion::starblast 6 astro,Orion,StarBlast 6 Astro,Newton,150,750,5,Dobson tabletop,Manufacturer catalog specification.
telescope::sharpstar::15028hnt,Sharpstar,15028HNT,Newton,150,420,2.8,OTA,Manufacturer catalog specification.
telescope::sharpstar::61edph iii,Sharpstar,61EDPH III,rifrattore,61,360,5.9,OTA,Manufacturer catalog specification.
telescope::sharpstar::76edph,Sharpstar,76EDPH,rifrattore,76,418,5.5,OTA,Manufacturer catalog specification.
telescope::sharpstar::94edph,Sharpstar,94EDPH,rifrattore,94,517,5.5,OTA,Manufacturer catalog specification.
telescope::sky-watcher::classic 150p dobson,Sky-Watcher,Classic 150P Dobson,Newton,150,1200,8,Dobson,Manufacturer catalog specification.
telescope::sky-watcher::classic 200p dobson,Sky-Watcher,Classic 200P Dobson,Newton,200,1200,6,Dobson,Manufacturer catalog specification.
telescope::sky-watcher::classic 250p dobson,Sky-Watcher,Classic 250P Dobson,Newton,254,1200,4.7,Dobson,Manufacturer catalog specification.
telescope::sky-watcher::classic 300p dobson,Sky-Watcher,Classic 300P Dobson,Newton,305,1500,4.9,Dobson,Manufacturer catalog specification.
telescope::sky-watcher::evostar 100ed ds-pro,Sky-Watcher,Evostar 100ED DS-Pro,rifrattore,100,900,9,OTA,Manufacturer catalog specification.
telescope::sky-watcher::evostar 120ed ds-pro,Sky-Watcher,Evostar 120ED DS-Pro,rifrattore,120,900,7.5,OTA,Manufacturer catalog specification.
telescope::sky-watcher::evostar 72ed ds-pro,Sky-Watcher,Evostar 72ED DS-Pro,rifrattore,72,420,5.8,OTA,Manufacturer catalog specification.
telescope::sky-watcher::evostar 80ed ds-pro,Sky-Watcher,Evostar 80ED DS-Pro,rifrattore,80,600,7.5,OTA,Manufacturer catalog specification.
telescope::sky-watcher::explorer 130pds,Sky-Watcher,Explorer 130PDS,Newton,130,650,5,OTA,Manufacturer catalog specification.
telescope::sky-watcher::explorer 150pds,Sky-Watcher,Explorer 150PDS,Newton,150,750,5,OTA,Manufacturer catalog specification.
telescope::sky-watcher::explorer 200pds,Sky-Watcher,Explorer 200PDS,Newton,200,1000,5,OTA,Manufacturer catalog specification.
telescope::sky-watcher::heritage 100p,Sky-Watcher,Heritage 100P,Newton,100,400,4,Dobson tabletop,Manufacturer catalog specification.
telescope::sky-watcher::heritage 130p,Sky-Watcher,Heritage 130P,Newton,130,650,5,Dobson tabletop,Manufacturer catalog specification.
telescope::sky-watcher::heritage 150p,Sky-Watcher,Heritage 150P,Newton,150,750,5,Dobson tabletop,Manufacturer catalog specification.
telescope::sky-watcher::skyliner 200p flextube,Sky-Watcher,Skyliner 200P FlexTube,Newton,200,1200,6,Dobson collassabile,Manufacturer catalog specification.
telescope::sky-watcher::skyliner 250p flextube,Sky-Watcher,Skyliner 250P FlexTube,Newton,254,1200,4.7,Dobson collassabile,Manufacturer catalog specification.
telescope::sky-watcher::skyliner 300p flextube,Sky-Watcher,Skyliner 300P FlexTube,Newton,305,1500,4.9,Dobson collassabile,Manufacturer catalog specification.
telescope::sky-watcher::skymax 102,Sky-Watcher,Skymax 102,Maksutov,102,1300,12.7,OTA,Manufacturer catalog specification.
telescope::sky-watcher::skymax 127,Sky-Watcher,Skymax 127,Maksutov,127,1500,11.8,OTA,Manufacturer catalog specification.
telescope::sky-watcher::skymax 150,Sky-Watcher,Skymax 150,Maksutov,150,1800,12,OTA,Manufacturer catalog specification.
telescope::sky-watcher::skymax 90,Sky-Watcher,Skymax 90,Maksutov,90,1250,13.9,OTA,Manufacturer catalog specification.
telescope::takahashi::fc-100dc,Takahashi,FC-100DC,rifrattore,100,740,7.4,OTA,Manufacturer catalog specification.
telescope::takahashi::fc-100dz,Takahashi,FC-100DZ,rifrattore,100,800,8,OTA,Manufacturer catalog specification.
telescope::takahashi::fc-76dcu,Takahashi,FC-76DCU,rifrattore,76,570,7.5,OTA,Manufacturer catalog specification.
telescope::takahashi::fs-60cb,Takahashi,FS-60CB,rifrattore,60,355,5.9,OTA,Manufacturer catalog specification.
telescope::takahashi::toa-130ns,Takahashi,TOA-130NS,rifrattore,130,1000,7.7,OTA,Manufacturer catalog specification.
telescope::takahashi::tsa-120,Takahashi,TSA-120,rifrattore,120,900,7.5,OTA,Manufacturer catalog specification.
telescope::vixen::a105m,Vixen,A105M,rifrattore,105,1000,9.5,OTA,Manufacturer catalog specification.
telescope::vixen::a80mf,Vixen,A80Mf,rifrattore,80,910,11.4,OTA,Manufacturer catalog specification.
telescope::vixen::ed80sf,Vixen,ED80Sf,rifrattore,80,600,7.5,OTA,Manufacturer catalog specification.
telescope::vixen::ed81s,Vixen,ED81S,rifrattore,81,625,7.7,OTA,Manufacturer catalog specification.
telescope::vixen::r200ss,Vixen,R200SS,Newton,200,800,4,OTA,Manufacturer catalog specification.
telescope::vixen::vc200l,Vixen,VC200L,Catadiottrico,200,1800,9,OTA,Manufacturer catalog specification.
telescope::william optics::gran turismo 102,William Optics,Gran Turismo 102,rifrattore,102,703,6.9,OTA,Manufacturer catalog specification.
telescope::william optics::gran turismo 71,William Optics,Gran Turismo 71,rifrattore,71,419,5.9,OTA,Manufacturer catalog specification.
telescope::william optics::gran turismo 81,William Optics,Gran Turismo 81,rifrattore,81,478,5.9,OTA,Manufacturer catalog specification.
telescope::william optics::redcat 51,William Optics,RedCat 51,rifrattore Petzval,51,250,4.9,OTA,Manufacturer catalog specification.
telescope::william optics::redcat 61,William Optics,RedCat 61,rifrattore Petzval,61,300,4.9,OTA,Manufacturer catalog specification.
telescope::william optics::zenithstar 61 ii,William Optics,Zenithstar 61 II,rifrattore,61,360,5.9,OTA,Manufacturer catalog specification.
telescope::william optics::zenithstar 73 iii,William Optics,Zenithstar 73 III,rifrattore,73,430,5.9,OTA,Manufacturer catalog specification.
telescope::william optics::zenithstar 81,William Optics,Zenithstar 81,rifrattore,81,559,6.9,OTA,Manufacturer catalog specification.
telescope::zwo/seestar::seestar s30,ZWO/Seestar,Seestar S30,Rifrattore apocromatico,30,150,5,GoTo altazimutale,Manufacturer catalog specification.,SMART_INTEGRATED
telescope::zwo/seestar::seestar s50,ZWO/Seestar,Seestar S50,Rifrattore apocromatico,50,250,5,GoTo altazimutale,Manufacturer catalog specification.,SMART_INTEGRATED
