seed_key,brand,model,eyepiece_type,focal_length_mm,min_focal_length_mm,max_focal_length_mm,apparent_field_deg,afov_min,afov_max,notes,zoom_click_positions_mm
eyepiece::meade::series 4000 super plossl::12.4,Meade,Series 4000 Super Plossl,Fixed,12.4,,,52,,,Manufacturer catalog series.,
eyepiece::meade::series 4000 super plossl::15,Meade,Series 4000 Super Plossl,Fixed,15,,,52,,,Manufacturer catalog series.,
eyepiece::meade::series 4000 super plossl::20,Meade,Series 4000 Super Plossl,Fixed,20,,,52,,,Manufacturer catalog series.,
eyepiece::meade::series 4000 super plossl::26,Meade,Series 4000 Super Plossl,Fixed,26,,,52,,,Manufacturer catalog series.,
eyepiece::meade::series 4000 super plossl::32,Meade,Series 4000 Super Plossl,Fixed,32,,,52,,,Manufacturer catalog series.,
eyepiece::orion::expanse::6,Orion,Expanse,Fixed,6,,,66,,,Manufacturer catalog series.,
eyepiece::orion::expanse::9,Orion,Expanse,Fixed,9,,,66,,,Manufacturer catalog series.,
eyepiece::orion::expanse::15,Orion,Expanse,Fixed,15,,,66,,,Manufacturer catalog series.,
eyepiece::orion::expanse::20,Orion,Expanse,Fixed,20,,,66,,,Manufacturer catalog series.,
eyepiece::orion::sirius plossl::7.5,Orion,Sirius Plossl,Fixed,7.5,,,52,,,Manufacturer catalog series.,
eyepiece::orion::sirius plossl::10,Orion,Sirius Plossl,Fixed,10,,,52,,,Manufacturer catalog series.,
eyepiece::orion::sirius plossl::12.5,Orion,Sirius Plossl,Fixed,12.5,,,52,,,Manufacturer catalog series.,
eyepiece::orion::sirius plossl::17,Orion,Sirius Plossl,Fixed,17,,,52,,,Manufacturer catalog series.,
eyepiece::orion::sirius plossl::25,Orion,Sirius Plossl,Fixed,25,,,52,,,Manufacturer catalog series.,
eyepiece::sky-watcher::planetary uwa::2.5,Sky-Watcher,Planetary UWA,Fixed,2.5,,,58,,,Manufacturer catalog series.,
eyepiece::sky-watcher::planetary uwa::3.2,Sky-Watcher,Planetary UWA,Fixed,3.2,,,58,,,Manufacturer catalog series.,
eyepiece::sky-watcher::planetary uwa::4,Sky-Watcher,Planetary UWA,Fixed,4,,,58,,,Manufacturer catalog series.,
eyepiece::sky-watcher::planetary uwa::5,Sky-Watcher,Planetary UWA,Fixed,5,,,58,,,Manufacturer catalog series.,
eyepiece::sky-watcher::planetary uwa::6,Sky-Watcher,Planetary UWA,Fixed,6,,,58,,,Manufacturer catalog series.,
eyepiece::sky-watcher::planetary uwa::7,Sky-Watcher,Planetary UWA,Fixed,7,,,58,,,Manufacturer catalog series.,
eyepiece::sky-watcher::planetary uwa::8,Sky-Watcher,Planetary UWA,Fixed,8,,,58,,,Manufacturer catalog series.,
eyepiece::sky-watcher::super plossl::6.3,Sky-Watcher,Super Plossl,Fixed,6.3,,,52,,,Manufacturer catalog series.,
eyepiece::sky-watcher::super plossl::7.5,Sky-Watcher,Super Plossl,Fixed,7.5,,,52,,,Manufacturer catalog series.,
eyepiece::sky-watcher::super plossl::10,Sky-Watcher,Super Plossl,Fixed,10,,,52,,,Manufacturer catalog series.,
eyepiece::sky-watcher::super plossl::12.5,Sky-Watcher,Super Plossl,Fixed,12.5,,,52,,,Manufacturer catalog series.,
eyepiece::sky-watcher::super plossl::17,Sky-Watcher,Super Plossl,Fixed,17,,,52,,,Manufacturer catalog series.,
eyepiece::sky-watcher::super plossl::25,Sky-Watcher,Super Plossl,Fixed,25,,,52,,,Manufacturer catalog series.,
eyepiece::sky-watcher::super plossl::32,Sky-Watcher,Super Plossl,Fixed,32,,,52,,,Manufacturer catalog series.,
eyepiece::svbony::zoom 7-21 mm::21,Svbony,Zoom 7-21 mm,Zoom,21,7,21,50,,,"Zoom eyepiece; AFOV varies by focal position, midpoint estimate used.",
eyepiece::tele vue::delite::3,Tele Vue,DeLite,Fixed,3,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::4,Tele Vue,DeLite,Fixed,4,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::5,Tele Vue,DeLite,Fixed,5,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::7,Tele Vue,DeLite,Fixed,7,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::9,Tele Vue,DeLite,Fixed,9,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::11,Tele Vue,DeLite,Fixed,11,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::13,Tele Vue,DeLite,Fixed,13,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::15,Tele Vue,DeLite,Fixed,15,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delite::18.2,Tele Vue,DeLite,Fixed,18.2,,,62,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::3.5,Tele Vue,Delos,Fixed,3.5,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::4.5,Tele Vue,Delos,Fixed,4.5,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::6,Tele Vue,Delos,Fixed,6,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::8,Tele Vue,Delos,Fixed,8,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::10,Tele Vue,Delos,Fixed,10,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::12,Tele Vue,Delos,Fixed,12,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::14,Tele Vue,Delos,Fixed,14,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::delos::17.3,Tele Vue,Delos,Fixed,17.3,,,72,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::3.7,Tele Vue,Ethos,Fixed,3.7,,,110,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::4.7,Tele Vue,Ethos,Fixed,4.7,,,110,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::6,Tele Vue,Ethos,Fixed,6,,,100,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::8,Tele Vue,Ethos,Fixed,8,,,100,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::10,Tele Vue,Ethos,Fixed,10,,,100,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::13,Tele Vue,Ethos,Fixed,13,,,100,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::17,Tele Vue,Ethos,Fixed,17,,,100,,,Manufacturer catalog series.,
eyepiece::tele vue::ethos::21,Tele Vue,Ethos,Fixed,21,,,100,,,Manufacturer catalog series.,
eyepiece::tele vue::nagler type 6::3.5,Tele Vue,Nagler Type 6,Fixed,3.5,,,82,,,Manufacturer catalog series.,
eyepiece::tele vue::nagler type 6::5,Tele Vue,Nagler Type 6,Fixed,5,,,82,,,Manufacturer catalog series.,
eyepiece::tele vue::nagler type 6::7,Tele Vue,Nagler Type 6,Fixed,7,,,82,,,Manufacturer catalog series.,
eyepiece::tele vue::nagler type 6::9,Tele Vue,Nagler Type 6,Fixed,9,,,82,,,Manufacturer catalog series.,
eyepiece::tele vue::nagler type 6::11,Tele Vue,Nagler Type 6,Fixed,11,,,82,,,Manufacturer catalog series.,
eyepiece::tele vue::nagler type 6::13,Tele Vue,Nagler Type 6,Fixed,13,,,82,,,Manufacturer catalog series.,
eyepiece::tele vue::plossl::8,Tele Vue,Plossl,Fixed,8,,,50,,,Manufacturer catalog series.,
eyepiece::tele vue::plossl::11,Tele Vue,Plossl,Fixed,11,,,50,,,Manufacturer catalog series.,
eyepiece::tele vue::plossl::15,Tele Vue,Plossl,Fixed,15,,,50,,,Manufacturer catalog series.,
eyepiece::tele vue::plossl::20,Tele Vue,Plossl,Fixed,20,,,50,,,Manufacturer catalog series.,
eyepiece::tele vue::plossl::25,Tele Vue,Plossl,Fixed,25,,,50,,,Manufacturer catalog series.,
eyepiece::tele vue::plossl::32,Tele Vue,Plossl,Fixed,32,,,50,,,Manufacturer catalog series.,
